Case;Atividade;Inicio;Fim;Tempo(s)
34;Reunioes;19-01-2012 09:00:13;19-01-2012 09:50:06;2993
34;Retirada do Produto;19-01-2012 09:00:14;19-01-2012 09:00:14;0
34;Alimentacao de Maquina;19-01-2012 09:00:14;19-01-2012 09:00:24;10
35;Maquina trabalhando;19-01-2012 09:50:24;19-01-2012 09:51:08;44
35;Retirada do Produto;19-01-2012 09:51:08;19-01-2012 09:51:08;0
35;Alimentacao de Maquina;19-01-2012 09:51:08;19-01-2012 09:51:18;10
35;Parada de curta duracao;19-01-2012 09:51:18;19-01-2012 09:51:26;8
36;Maquina trabalhando;19-01-2012 09:51:26;19-01-2012 09:52:10;44
36;Retirada do Produto;19-01-2012 09:52:10;19-01-2012 09:52:10;0
36;Alimentacao de Maquina;19-01-2012 09:52:10;19-01-2012 09:52:20;10
36;Parada de curta duracao;19-01-2012 09:52:20;19-01-2012 09:52:29;9
37;Maquina trabalhando;19-01-2012 09:52:29;19-01-2012 09:53:13;44
37;Retirada do Produto;19-01-2012 09:53:13;19-01-2012 09:53:13;0
37;Alimentacao de Maquina;19-01-2012 09:53:13;19-01-2012 09:53:23;10
37;Parada de curta duracao;19-01-2012 09:53:23;19-01-2012 09:53:38;15
38;Maquina trabalhando;19-01-2012 09:53:38;19-01-2012 09:54:22;44
38;Retirada do Produto;19-01-2012 09:54:22;19-01-2012 09:54:22;0
38;Alimentacao de Maquina;19-01-2012 09:54:22;19-01-2012 09:54:32;10
38;Parada de curta duracao;19-01-2012 09:54:32;19-01-2012 09:54:40;8
39;Maquina trabalhando;19-01-2012 09:54:40;19-01-2012 09:55:24;44
39;Retirada do Produto;19-01-2012 09:55:24;19-01-2012 09:55:24;0
39;Alimentacao de Maquina;19-01-2012 09:55:24;19-01-2012 09:55:34;10
39;Parada de curta duracao;19-01-2012 09:55:34;19-01-2012 09:55:41;7
40;Maquina trabalhando;19-01-2012 09:55:41;19-01-2012 09:56:26;45
40;Retirada do Produto;19-01-2012 09:56:26;19-01-2012 09:56:26;0
40;Alimentacao de Maquina;19-01-2012 09:56:26;19-01-2012 09:56:36;10
40;Parada de curta duracao;19-01-2012 09:56:36;19-01-2012 09:56:42;6
41;Maquina trabalhando;19-01-2012 09:56:42;19-01-2012 09:57:26;44
41;Retirada do Produto;19-01-2012 09:57:26;19-01-2012 09:57:26;0
41;Alimentacao de Maquina;19-01-2012 09:57:26;19-01-2012 09:57:36;10
41;Parada de curta duracao;19-01-2012 09:57:36;19-01-2012 09:58:01;25
42;Maquina trabalhando;19-01-2012 09:58:01;19-01-2012 09:58:45;44
42;Retirada do Produto;19-01-2012 09:58:45;19-01-2012 09:58:45;0
42;Alimentacao de Maquina;19-01-2012 09:58:45;19-01-2012 09:58:55;10
42;Parada de curta duracao;19-01-2012 09:58:55;19-01-2012 09:58:59;4
43;Maquina trabalhando;19-01-2012 09:58:59;19-01-2012 09:59:43;44
43;Retirada do Produto;19-01-2012 09:59:43;19-01-2012 09:59:43;0
